mnc,year,geographic_score,completness_score,transparency_score
ACCIONA,2020,76.41678726788315,58.333333333333336,67.37506030060824
ACCIONA,2021,78.42917170880747,58.333333333333336,68.38125252107041
ACCIONA,2022,88.4133844434326,58.333333333333336,73.37335888838297
ACERINOX,2020,100.0,33.33333333333333,66.66666666666666
ACERINOX,2021,100.0,33.33333333333333,66.66666666666666
ACS,2019,97.52042063828009,33.33333333333333,65.4268769858067
ACS,2020,97.8233996078832,33.33333333333333,65.57836647060827
ACS,2021,96.03194470742021,33.33333333333333,64.68263902037677
ADECCO,2021,100.0,100.0,100.0
ADECCO,2022,100.0,100.0,100.0
ADYEN,2020,100.0,33.33333333333333,66.66666666666666
ADYEN,2021,100.0,50.0,75.0
ADYEN,2022,100.0,50.0,75.0
AEGON,2020,100.0,83.33333333333334,91.66666666666667
AEGON,2021,100.0,83.33333333333334,91.66666666666667
AJINOMOTO,2020,96.8170639499133,58.333333333333336,77.57519864162332
AJINOMOTO,2021,95.66610508841447,58.333333333333336,76.9997192108739
AKER SOLUTIONS,2014,99.983303650935,16.666666666666664,58.32498515880083
AKER SOLUTIONS,2015,99.84772073382517,33.33333333333333,66.59052703357925
AKER SOLUTIONS,2016,98.26572183097339,33.33333333333333,65.79952758215336
AKER SOLUTIONS,2017,97.49642601818287,33.33333333333333,65.4148796757581
AKER SOLUTIONS,2018,96.72464599642304,33.33333333333333,65.02898966487818
AKER SOLUTIONS,2019,98.91730272825575,33.33333333333333,66.12531803079455
AKER SOLUTIONS,2020,97.22537553619767,33.33333333333333,65.27935443476551
AKER SOLUTIONS,2021,98.23336947055942,33.33333333333333,65.78335140194638
AKER SOLUTIONS,2022,98.30044677355846,33.33333333333333,65.81689005344589
AKZO NOBEL,2021,61.43103070826896,50.0,55.71551535413448
ALLIANZ,2017,73.75004509726477,33.33333333333333,53.54168921529905
ALLIANZ,2018,65.91568043136047,33.33333333333333,49.6245068823469
ALLIANZ,2019,100.0,33.33333333333333,66.66666666666666
ALLIANZ,2020,94.4346941067129,50.0,72.21734705335645
ALLIANZ,2021,99.28770639723304,66.66666666666666,82.97718653194985
ALLIANZ,2022,99.64212020223924,66.66666666666666,83.15439343445294
AMERICA MOVIL,2019,96.28426980631662,58.333333333333336,77.30880156982498
AMERICA MOVIL,2020,93.2729785710397,58.333333333333336,75.80315595218651
AMERICA MOVIL,2021,97.54663352376743,58.333333333333336,77.93998342855038
AMOREPACIFIC,2021,100.0,16.666666666666664,58.33333333333333
ANGLO AMERICAN,2018,100.0,100.0,100.0
ANGLO AMERICAN,2019,100.0,100.0,100.0
ANGLO AMERICAN,2020,100.0,100.0,100.0
ANGLO AMERICAN,2021,100.0,100.0,100.0
ANGLO AMERICAN,2022,100.0,100.0,100.0
APPLUS,2019,33.6655107085452,83.33333333333334,58.49942202093927
APPLUS,2020,37.18314772261198,83.33333333333334,60.25824052797266
APPLUS,2021,30.7097118071368,83.33333333333334,57.02152257023507
APPLUS,2022,29.931757361989924,83.33333333333334,56.63254534766163
AQUAFIL,2021,100.0,41.66666666666667,70.83333333333334
ASTM,2020,100.0,83.33333333333334,91.66666666666667
ASTM,2021,100.0,83.33333333333334,91.66666666666667
ATLANTIA,2019,100.0,83.33333333333334,91.66666666666667
ATLANTIA,2021,100.0,83.33333333333334,91.66666666666667
AUTOSTRADE PER L'ITALIA,2022,99.74429053349576,83.33333333333334,91.53881193341455
AXA,2018,91.14024345743037,33.33333333333333,62.23678839538185
AXA,2019,93.44794980671867,33.33333333333333,63.390641570026
AXA,2020,93.60207054739323,33.33333333333333,63.46770194036328
AXA,2021,92.55059768861713,100.0,96.27529884430857
BARLOWORLD,2021,100.0,83.33333333333334,91.66666666666667
BAYWA,2020,100.0,75.0,87.5
BAYWA,2021,100.0,75.0,87.5
BHP,2020,100.0,83.33333333333334,91.66666666666667
